batsman,batsman_runs
A Choudhary,6
AM Rahane,60
AT Rayudu,10
BA Stokes,21
BCJ Cutting,16
CH Gayle,32
DA Warner,14
DJ Hooda,16
HH Pandya,35
JC Buttler,38
JJ Roy,4
KA Pollard,27
KH Pandya,3
KM Jadhav,31
MA Agarwal,6
MC Henriques,52
MS Dhoni,12
Mandeep Singh,24
N Rana,34
PA Patel,19
RG Sharma,3
S Aravind,0
S Dhawan,40
SPD Smith,84
SR Watson,22
STR Binny,11
Sachin Baby,1
TG Southee,7
TM Head,30
TS Mills,6
YS Chahal,3
Yuvraj Singh,62
